Task,Arrival Time,Start Time,End Time,Status
5,0,0,1,Partial
72,1,1,2,Partial
11,2,2,3,Partial
11,2,3,6,Partial
11,2,6,8,Partial
11,2,8,9,Partial
11,2,9,12,Partial
11,2,12,13,Complete
68,8,13,14,Partial
68,8,14,15,Partial
68,8,15,17,Partial
68,8,17,20,Partial
68,8,20,22,Partial
88,22,22,23,Partial
60,23,23,24,Partial
41,24,24,25,Partial
12,25,25,26,Partial
12,25,26,29,Partial
12,25,29,31,Partial
12,25,31,32,Partial
12,25,32,34,Complete
41,24,34,37,Partial
41,24,37,38,Partial
41,24,38,39,Partial
41,24,39,42,Partial
36,42,42,43,Partial
36,42,43,44,Complete
41,24,44,46,Partial
41,24,46,47,Partial
41,24,47,49,Partial
41,24,49,51,Partial
41,24,51,52,Partial
41,24,52,53,Partial
41,24,53,54,Partial
41,24,54,55,Partial
41,24,55,56,Partial
41,24,56,61,Complete
80,55,61,64,Partial
80,55,64,65,Partial
80,55,65,66,Partial
80,55,66,68,Partial
80,55,68,69,Partial
80,55,69,71,Partial
80,55,71,72,Complete
57,71,72,73,Partial
57,71,73,75,Partial
57,71,75,76,Partial
57,71,76,77,Partial
57,71,77,78,Partial
50,78,78,79,Complete
57,71,79,81,Partial
57,71,81,82,Partial
57,71,82,83,Partial
57,71,83,85,Partial
57,71,85,86,Partial
59,86,86,87,Partial
59,86,87,88,Complete
57,71,88,89,Partial
57,71,89,91,Partial
57,71,91,94,Partial
57,71,94,96,Partial
57,71,96,97,Partial
57,71,97,101,Complete
87,43,101,102,Partial
87,43,102,104,Partial
87,43,104,111,Partial
87,43,111,112,Partial
87,43,112,114,Partial
87,43,114,116,Partial
87,43,116,120,Partial
87,43,120,121,Partial
28,121,121,125,Partial
28,121,125,128,Partial
28,121,128,129,Partial
28,121,129,138,Partial
28,121,138,142,Partial
28,121,142,146,Partial
28,121,146,147,Partial
28,121,147,150,Partial
28,121,150,171,Complete
13,150,171,202,Complete
87,43,202,212,Complete
63,49,212,242,Complete
3,38,242,279,Complete
85,49,279,295,Complete
16,147,295,301,Complete
43,96,301,350,Complete
52,52,350,356,Complete
60,23,356,367,Complete
70,85,367,384,Complete
89,29,384,411,Complete
83,91,411,413,Complete
88,22,413,420,Complete
32,125,420,444,Complete
7,46,444,479,Complete
4,68,479,489,Complete
73,82,489,505,Complete
61,86,505,529,Complete
15,69,529,575,Complete
68,8,575,584,Complete
17,64,584,606,Complete
90,97,606,627,Complete
93,111,627,655,Complete
95,68,655,665,Complete
71,46,665,689,Complete
6,39,689,699,Complete
78,116,699,713,Complete
84,77,713,734,Complete
8,15,734,758,Complete
58,6,758,784,Complete
49,49,784,806,Complete
47,73,806,810,Complete
75,66,810,853,Complete
91,128,853,887,Complete
31,112,887,923,Complete
29,71,923,968,Complete
44,52,968,1006,Complete
74,114,1006,1011,Complete
24,87,1011,1014,Complete
46,47,1014,1028,Complete
39,114,1028,1051,Complete
94,75,1051,1098,Complete
18,76,1098,1108,Complete
20,102,1108,1114,Complete
66,89,1114,1155,Complete
42,37,1155,1162,Complete
72,1,1162,1193,Complete
10,32,1193,1233,Complete
48,52,1233,1282,Complete
62,73,1282,1296,Complete
77,83,1296,1310,Complete
27,1,1310,1339,Complete
5,0,1339,1340,Complete
19,15,1340,1359,Complete
76,20,1359,1402,Complete
92,26,1402,1404,Complete
37,97,1404,1454,Complete
82,14,1454,1464,Complete
14,94,1464,1469,Complete
33,81,1469,1472,Complete
21,65,1472,1495,Complete
56,39,1495,1510,Complete
69,17,1510,1529,Complete
98,71,1529,1533,Complete
64,31,1533,1551,Complete
25,37,1551,1590,Complete
67,138,1590,1634,Complete
96,129,1634,1641,Complete
30,138,1641,1673,Complete
34,17,1673,1712,Complete
100,53,1712,1752,Complete
53,78,1752,1793,Complete
9,0,1793,1795,Complete
97,101,1795,1803,Complete
81,32,1803,1842,Complete
51,120,1842,1873,Complete
65,142,1873,1907,Complete
2,146,1907,1947,Complete
1,54,1947,1996,Complete
22,65,1996,2019,Complete
54,56,2019,2053,Complete
23,150,2053,2059,Complete
99,104,2059,2083,Complete
45,3,2083,2117,Complete
86,12,2117,2165,Complete
79,51,2165,2213,Complete
55,8,2213,2244,Complete
38,9,2244,2248,Complete
26,38,2248,2265,Complete
40,128,2265,2287,Complete
35,61,2287,2330,Complete
